Expiry Date,Cyberstock_Code,Branch,Make,Model,Year,Colour,Kilometers,Price,Service History,Features,Type,Advert (if new),Real Stock Code (if used),MM Code,IMG_1,IMG_2,IMG_3
20/11/2008,CC000001,CT,CHEVROLET,AVEO 1.5 LS 5Dr,2007,Silver,12 000,89 995,Yes, ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Central Locking Electric Windows Full Service History Maintenance Plan Metallic Paint Power Steering Radio and CD              ,Used,,O12085,10030280,,,
20/11/2008,CC000002,CT,CHEVROLET,AVEO 1.5 LT 5Dr,2006,White,8 000,94 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Body CD - Frontloader Central Locking Cruise Control Electric Windows Exterior features Full Service History Interior Features Interior Trim Maintenance Plan Metallic Paint Power Steering Radio and CD Spotlights        ,Used,,O12113,10030340,,,
20/11/2008,CC000003,CT,HUMMER,3.7 DOHC AUTOMATIC,2008,Black,8 000,289 995,Yes,Airbags Anti Theft - Immobiliser Balance of Manufacturer Warranty Full Service History Polyurathane Lining Power Steering Canopy                      ,Used,,O11851,26630120,,,
20/11/2008,CC000004,CT,ISUZU,KB 250D-TEQ LE D/CAB,2008,Silver,5,234 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Canopy Central Locking Diff Lock Electric Windows Full Service History Loadmat Power Steering Radio and CD Service Plan Towbar             ,Used,,O12098,28015330,,,
20/11/2008,CC000005,CT,ISUZU,KB 250D-TEQ LE D/CAB,2008,White,11 000,224 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Central Locking Electric Windows Full Service History Maintenance Plan Power Steering Radio and CD                ,Used,,O12099,28015330,,,
20/11/2008,CC000006,CT,ISUZU,KB 300 TDi LX D/C,2007,White,35 000,202 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Body CD - Frontloader Central Locking Electric Windows Entry Level Model - Fuel Efficient Exterior features Full Service History Interior Features Interior Trim Metallic Paint Power Steering Radio and CD Spotlights         ,Used,,O12124,28015460,,,
20/11/2008,CC000007,CT,ISUZU,KB 300D-TEQ LX D/CAB,2008,Silver,21 000,244 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Body CD - Frontloader Central Locking Electric Windows Exterior features Full Service History Interior Features Interior Trim Metallic Paint Power Steering Radio and CD Spotlights          ,Used,,O12120,28015462,,,
20/11/2008,CC000008,CT,ISUZU,KB 360 V6 LX D/CAB,2008,Magnum Blue,36 000,236 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Body CD - Frontloader Central Locking Electric Windows Exterior features Full Service History Interior Features Interior Trim Metallic Paint Power Steering Radio and CD Spotlights          ,Used,,O12097,28015565,,,
20/11/2008,CN000001,CT,OPEL,ASTRA 1.4 ESSENTIA 5Dr,2007,Silver,28 000,122 995,Yes, ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty Central Locking Power Steering Radio and CD                  ,Used,,O12109,48043050,,,
20/11/2008,CN000002,CT,OPEL,ASTRA 1.4 ESSENTIA 5Dr,2008,White,38 000,127 995,Yes,ABS Airbags AirCon Alloy Wheels Anti Theft - Alarm Anti Theft - Immobiliser Balance of Manufacturer Warranty CD - Frontloader Central Locking Electric Windows Entry Level Model - Fuel Efficient Exterior features Full Service History Interior Features Interior Trim Power Steering Radio and CD Spotlights           ,Used,,O12111,48043050,,,
