Make,MakeModel,MMCode,Variant,Regyear
ISUZU,ISUZU KB PRE 89,28007077,KB 21,1985
ISUZU,ISUZU KB PRE 89,28007077,KB 21,1986
ISUZU,ISUZU KB PRE 89,28007077,KB 21,1987
ISUZU,ISUZU KB PRE 89,28007096,KB 21 FLEETSIDE,1987
ISUZU,ISUZU KB PRE 89,28007096,KB 21 FLEETSIDE,1988
ISUZU,ISUZU KB PRE 89,28007096,KB 21 FLEETSIDE,1989
ISUZU,ISUZU KB PRE 89,28007100,KB 21 FLEETSIDE,1987
ISUZU,ISUZU KB PRE 89,28007100,KB 21 FLEETSIDE,1988
ISUZU,ISUZU KB PRE 89,28007100,KB 21 FLEETSIDE,1989
ISUZU,ISUZU KB PRE 89,28007115,KB 21-1.8 LE,1983
ISUZU,ISUZU KB PRE 89,28007115,KB 21-1.8 LE,2007
ISUZU,ISUZU KB PRE 89,28007124,KB 21,1987
ISUZU,ISUZU KB PRE 89,28007134,KBD 22,1986
ISUZU,ISUZU KB PRE 89,28007134,KBD 22,1987
ISUZU,ISUZU KB PRE 89,28007134,KBD 22,1988
ISUZU,ISUZU KB PRE 89,28007153,KB 22 LE,1983
ISUZU,ISUZU KB PRE 89,28007153,KB 22 LE,1984
ISUZU,ISUZU KB PRE 89,28007172,KBD 23 SWB,1988
ISUZU,ISUZU KB PRE 89,28007172,KBD 23 SWB,1989
ISUZU,ISUZU KB PRE 89,28007191,KB 23 LE,1984
ISUZU,ISUZU KB PRE 89,28007191,KB 23 LE,1985
ISUZU,ISUZU KB PRE 89,28007191,KB 23 LE,1986
ISUZU,ISUZU KB PRE 89,28007191,KB 23 LE,1987
ISUZU,ISUZU KB PRE 89,28007191,KB 23 LE,1988
ISUZU,ISUZU KB PRE 89,28007200,KB 24,1987
ISUZU,ISUZU KB PRE 89,28007200,KB 24,1988
ISUZU,ISUZU KB PRE 89,28007200,KB 24,1989
ISUZU,ISUZU KB PRE 89,28007210,KB 24 LE,1987
ISUZU,ISUZU KB PRE 89,28007210,KB 24 LE,1988
ISUZU,ISUZU KB PRE 89,28007210,KB 24 LE,1989
ISUZU,ISUZU KB PRE 89,28007220,KB 24,1987
ISUZU,ISUZU KB PRE 89,28007220,KB 24,1988
ISUZU,ISUZU KB PRE 89,28007220,KB 24,1989
ISUZU,ISUZU KB PRE 89,28007268,KB 26,1981
ISUZU,ISUZU KB PRE 89,28007268,KB 26,1982
ISUZU,ISUZU KB PRE 89,28007268,KB 26,1983
ISUZU,ISUZU KB PRE 89,28007268,KB 26,2007
ISUZU,ISUZU KB PRE 89,28007307,KB 26-1.8,1983
ISUZU,ISUZU KB PRE 89,28007307,KB 26-1.8,2007
ISUZU,ISUZU KB PRE 89,28007345,KB 27,1983
ISUZU,ISUZU KB PRE 89,28007345,KB 27,1984
ISUZU,ISUZU KB PRE 89,28007384,KB 28,1984
ISUZU,ISUZU KB PRE 89,28007384,KB 28,1985
ISUZU,ISUZU KB PRE 89,28007384,KB 28,1986
ISUZU,ISUZU KB PRE 89,28007384,KB 28,1987
ISUZU,ISUZU KB PRE 89,28007409,KB 29,1987
ISUZU,ISUZU KB PRE 89,28007409,KB 29,1988
ISUZU,ISUZU KB PRE 89,28007409,KB 29,1989
ISUZU,ISUZU KB PRE 89,28007417,KB 29,1987
ISUZU,ISUZU KB PRE 89,28007417,KB 29,1988
ISUZU,ISUZU KB PRE 89,28007417,KB 29,1989
ISUZU,ISUZU KB PRE 89,28007462,KB 41,1981
ISUZU,ISUZU KB PRE 89,28007462,KB 41,1982
ISUZU,ISUZU KB PRE 89,28007462,KB 41,1983
ISUZU,ISUZU KB PRE 89,28007462,KB 41,2007
ISUZU,ISUZU KB PRE 89,28007499,KB 41-1.8,1983
ISUZU,ISUZU KB PRE 89,28007499,KB 41-1.8,2007
ISUZU,ISUZU KB PRE 89,28007537,KB 42,1983
ISUZU,ISUZU KB PRE 89,28007537,KB 42,1984
ISUZU,ISUZU KB PRE 89,28007556,KB 43,1985
ISUZU,ISUZU KB PRE 89,28007576,KB 43 LE 4X4,1984
ISUZU,ISUZU KB PRE 89,28007576,KB 43 LE 4X4,1985
ISUZU,ISUZU KB PRE 89,28007576,KB 43 LE 4X4,1986
ISUZU,ISUZU KB PRE 89,28007576,KB 43 LE 4X4,1987
ISUZU,ISUZU KB PRE 89,28007595,KB 43 4X4,1986
ISUZU,ISUZU KB PRE 89,28007595,KB 43 4X4,1987
ISUZU,ISUZU KB PRE 89,28007600,KB 43 4X4,1987
ISUZU,ISUZU KB PRE 89,28007603,KB 44,1987
ISUZU,ISUZU KB PRE 89,28007603,KB 44,1988
ISUZU,ISUZU KB PRE 89,28007603,KB 44,1989
ISUZU,ISUZU KB PRE 89,28007606,KB 44 LE,1987
ISUZU,ISUZU KB PRE 89,28007606,KB 44 LE,1988
ISUZU,ISUZU KB PRE 89,28007606,KB 44 LE,1989
ISUZU,ISUZU KB PRE 89,28007609,KB 44,1987
ISUZU,ISUZU KB PRE 89,28007609,KB 44,1988
ISUZU,ISUZU KB PRE 89,28007609,KB 44,1989
ISUZU,ISUZU KB PRE 89,28007653,KBD 21,1981
ISUZU,ISUZU KB PRE 89,28007653,KBD 21,1982
ISUZU,ISUZU KB PRE 89,28007653,KBD 21,1983
ISUZU,ISUZU KB PRE 89,28007653,KBD 21,2007
ISUZU,ISUZU KB PRE 89,28007672,KBD 22,1987
ISUZU,ISUZU KB PRE 89,28007672,KBD 22,1988
ISUZU,ISUZU KB PRE 89,28007691,KBD 22 LE,1983
ISUZU,ISUZU KB PRE 89,28007691,KBD 22 LE,1984
ISUZU,ISUZU KB PRE 89,28007691,KBD 22 LE,1985
ISUZU,ISUZU KB PRE 89,28007691,KBD 22 LE,1986
ISUZU,ISUZU KB PRE 89,28007691,KBD 22 LE,1987
ISUZU,ISUZU KB PRE 89,28007710,KBD 23 LE,1987
ISUZU,ISUZU KB PRE 89,28007710,KBD 23 LE,1988
ISUZU,ISUZU KB PRE 89,28007710,KBD 23 LE,1989
ISUZU,ISUZU KB PRE 89,28007768,KBD 26,1981
ISUZU,ISUZU KB PRE 89,28007768,KBD 26,1982
ISUZU,ISUZU KB PRE 89,28007768,KBD 26,1983
ISUZU,ISUZU KB PRE 89,28007768,KBD 26,2007
ISUZU,ISUZU KB PRE 89,28007807,KBD 27,1983
ISUZU,ISUZU KB PRE 89,28007807,KBD 27,1984
ISUZU,ISUZU KB PRE 89,28007807,KBD 27,1985
ISUZU,ISUZU KB PRE 89,28007807,KBD 27,1986
ISUZU,ISUZU KB PRE 89,28007807,KBD 27,1987
ISUZU,ISUZU KB PRE 89,28007826,KBD 27,1987
ISUZU,ISUZU KB PRE 89,28007832,KBD 28,1987
ISUZU,ISUZU KB PRE 89,28007832,KBD 28,1988
ISUZU,ISUZU KB PRE 89,28007832,KBD 28,1989
ISUZU,ISUZU KB PRE 89,28007838,KBD 28,1987
ISUZU,ISUZU KB PRE 89,28007838,KBD 28,1988
ISUZU,ISUZU KB PRE 89,28007838,KBD 28,1989
ISUZU,ISUZU KB PRE 89,28007845,KBD 40,1980
ISUZU,ISUZU KB PRE 89,28007845,KBD 40,1981
ISUZU,ISUZU KB PRE 89,28007884,KBD 41,1981
ISUZU,ISUZU KB PRE 89,28007884,KBD 41,1982
ISUZU,ISUZU KB PRE 89,28007884,KBD 41,1983
ISUZU,ISUZU KB PRE 89,28007884,KBD 41,2007
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1983
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1984
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1985
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1986
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1987
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1988
ISUZU,ISUZU KB PRE 89,28007922,KBD 42 4X4,1989
ISUZU,ISUZU KB PRE 89,28007958,KBD 42 4X4,1987
ISUZU,ISUZU KB PRE 89,28007958,KBD 42 4X4,1988
